Bugbot found **11 findings** in this PR (branch vs `main`).

| Severity | Location | Finding |
|----------|----------|---------|
| Critical | `src/taskqueue/core/queue.py:55-57` | `ready_batch` returns the internal `_entries` list; `Dispatcher.run_once` calls `batch.pop(0)`, which removes jobs from the queue before routing finishes. Jobs that are not ready, waiting on backoff, or still running are dropped while remaining in the store, breaking retries and lease reaping. |
| High | `src/taskqueue/api/handlers.py:99` | Pause guard is `job.state == JobState.RUNNING or JobState.QUEUED`. Because `JobState.QUEUED` is always truthy, every job can be paused regardless of actual state, including terminal jobs. |
| High | `src/taskqueue/workers/executor.py:55-62` | `claim` stores `lease_deadline` in epoch milliseconds, but `_lease_expired` compares it to `timing.now()` in epoch seconds. The comparison is always false, so expired leases are never detected and dead workers never re-queue running jobs. |
| High | `src/taskqueue/core/retry.py:39` | `next_delay_ms` uses `max(delay, self.max_delay_ms)` instead of `min`. Once computed delay is below the cap, the policy forces at least `max_delay_ms`; for larger exponents the delay is never capped. |
| High | `src/taskqueue/workers/executor.py:111-123` | `_handle_failure` increments `job.attempts` and then calls `RetryPolicy.record_failure`, which increments again on the retry path. Each retried failure consumes two attempts, exhausting `max_attempts` early and using the wrong backoff exponent. |
| High | `src/taskqueue/clients/plugins/base.py:63-72` | `PluginHost._run_hooks` catches all exceptions from `before_execute`, including `AuditReject`. The handler still runs afterward, so audit allowlist rejections no longer block job execution. |
| High | `src/taskqueue/core/job.py:47-53` | PR adds `JobState.PAUSED` but not to `_TRANSITIONS`. `resume_job` calls `can_transition(job.state, JobState.QUEUED)`, which raises `KeyError` for paused jobs instead of returning 409. |
| High | `src/taskqueue/storage/events.py:29` | Event `ts` values are written in epoch milliseconds, but retention in `retention.py` compares against cutoffs in epoch seconds. Millisecond timestamps never appear expired, so retention never drops old records. |
| Medium | `src/taskqueue/core/timing.py:47-48` | `parse_duration` converts minute suffixes with `* 6000` instead of `* 60_000`. A duration like `5m` becomes 30 seconds of milliseconds rather than five minutes. |
| Medium | `src/taskqueue/workers/executor.py:96` | PR changed `status_key` to `jobs/{job_id}`, but the executor still invalidates `job:{job_id}`. Status cache entries written by API handlers are not cleared when jobs finish, fail, or are rejected. |
| Medium | `src/taskqueue/storage/store.py:39-40` | `get_job` returns `None` for unknown ids, but `update_state` accesses `job.state` without a null check, causing `AttributeError` instead of a controlled error for missing jobs. |

No pre-existing issues were reported separately. Say if you want these fixed in a follow-up pass.
