Bugbot found **11 findings** in this PR (no critical-severity items; several high-severity correctness bugs).

| Severity | Location | Finding |
|----------|----------|---------|
| high | `src/taskqueue/core/queue.py:55-57` | `ready_batch` returns the internal `_entries` list and the dispatcher calls `batch.pop(0)` on it, mutating the live queue. Jobs that are not ready, still leased, or in backoff are removed and never dispatched again. |
| high | `src/taskqueue/api/handlers.py:99` | The pause guard is `job.state == JobState.RUNNING or JobState.QUEUED`. Because `JobState.QUEUED` is always truthy, the check passes for every state, including terminal ones. |
| high | `src/taskqueue/workers/executor.py:62` | `claim` stores `lease_deadline` in epoch milliseconds, but `_lease_expired` compares it to `timing.now()` in epoch seconds. Expired leases are effectively never detected. |
| high | `src/taskqueue/clients/plugins/base.py:63-68` | `_run_hooks` catches all exceptions from `before_execute` and logs them. `AuditReject` from the audit allowlist plugin is swallowed, so rejected jobs still run. |
| high | `src/taskqueue/workers/executor.py:111-123` | `_handle_failure` increments `job.attempts` and then calls `RetryPolicy.record_failure`, which increments again. Each failure consumes two attempts and skews backoff. |
| high | `src/taskqueue/core/retry.py:39` | `next_delay_ms` uses `max(delay, self.max_delay_ms)` with a comment about capping delay. `max` forces delays to be at least `max_delay_ms` and does not cap larger values. |
| high | `src/taskqueue/core/job.py:47-53` | `JobState.PAUSED` is added but not included in `_TRANSITIONS`. `can_transition` indexes `_TRANSITIONS[src]`, so paused jobs raise `KeyError` instead of returning a boolean. |
| high | `src/taskqueue/workers/dispatch.py:53-55` | The dispatcher handles only QUEUED, RUNNING, and terminal states. PAUSED jobs fall through to the unknown-state branch and are marked FAILED. |
| high | `src/taskqueue/storage/events.py:29` | Event records write `ts` as epoch milliseconds, but consumers (SDK timeline, retention cutoff) still assume epoch seconds, breaking time-based logic. |
| medium | `src/taskqueue/workers/executor.py:96` | Cache invalidation uses `f"job:{job.id}"` while `status_key` now returns `jobs/{job_id}`. Executor-driven state changes no longer invalidate the API status cache. |
| medium | `src/taskqueue/core/timing.py:48` | `parse_duration` converts minute suffixes with `* 6000` instead of `* 60_000`, so `"5m"` yields 30 seconds instead of five minutes. |
| medium | `src/taskqueue/storage/store.py:39-40` | `get_job` can return `None`, but `update_state` immediately accesses `job.state` without checking for a missing job. |

These are all attributable to this PR’s changes. Bugbot did not report any pre-existing issues in a separate section.
